tst.ne.jp=TST Net,となみ衛星通信テレビ(株),富山県
cc22.ne.jp=(株)ケーブルシティ22,,広島県
cty-net.ne.jp=CTY INTERNET SERVICE,(株)シー・ティー・ワイ,三重県
nec.co.jp=日本電気(株),,
fujitsu.co.jp=富士通(株),,
hitachi.co.jp=(株)日立製作所,,
sony.co.jp=ソニー(株),,
cisco.com=Cisco Systems， Inc.,,
nttpc.co.jp=(株)ＮＴＴＰＣコミュニケーションズ,,
nttx.co.jp=(株)ＮＴＴ－Ｘ,,
ibm.com=International Business Machines Corporation,,
mei.co.jp=松下電器産業(株),,
sharp.co.jp=シャープ(株),,
nttdata.co.jp=(株)NTTデータ,,
nttcom.co.jp=NTTコミュニケーションズ(株),,
toshiba.co.jp=(株) 東芝,,
motorola.com=Motorola， Inc.,,
unisys.co.jp=日本ユニシス(株),,
panasonic.co.jp=松下電器産業(株),,
ntt.co.jp=日本電信電話(株),,
hp.com=hewlett-packard company,,
justsystem.co.jp=(株)ジャストシステム,,
softopia.or.jp=ソフトピアジャパン,,
kishou.go.jp=気象庁,,
oki.co.jp=沖電気工業(株),,
oracle.co.jp=日本オラクル(株),,
compaq.co.jp=コンパックコンピュータ(株),,
ddi.co.jp=(株)ＫＤＤＩ,,
117.ne.jp=117net,(株)大和生研,
7-dj.com=7-dj.com,(株)富士通青森システムエンジニアリング,青森県
aba.ne.jp=abaインターネットサービス,(株)アイスクエア,愛知県
accsnet.ne.jp=ACCS net,（財）研究学園都市コミュニティケーブルサービス,茨城県
aikis.or.jp=aikisインターネットサービス,(株)テレコムわかやま,和歌山県
akina.ne.jp=AKINA-NET,エー・アンド・アイ システム(株),福島県
akira.ne.jp=AKIRAインターネットサービス,(有)アキラ,東京都
asama.ne.jp=アサマ インターネット,アサマ インターネット,長野県
aya.or.jp=アヤ インターネットサービス,(有)アヤインターネットサービス,埼玉県
bcap.co.jp=BIWAKO Captaion Internet,びわ湖キャプテン(株),滋賀県
comlink.ne.jp=コムリンクインターネット,セコムウインテック山梨(株),山梨県
coms.ne.jp=COMSインターネット接続サービス,日本コムスペック(有),埼玉県
dreams.ne.jp=猿島インターネットサービス,(有)電脳,茨城県
hokkai.net=ホッカイ・ネット,,北海道
i-chubu.ne.jp=インターネット中部,(株)トーエネック　インターネット中部,
infoaomori.ne.jp=7-dj.com,(株)富士通青森システムエンジニアリング,青森県
janis.or.jp=ＪＡＮＩＳネットワーク,(株)長野県協同電算,長野県
miyazaki-nw.or.jp=宮崎情報ネットワーク,(株)宮崎県ソフトウェアセンター,宮崎県
netwave.or.jp=ネットウェーブ四国,,
wbs.ne.jp=Web静岡,(株)富士通インフォソフトテクノロジ,静岡県
yanbaru.ne.jp=やんばるインターネットサービス,(株)エフケイ,沖縄県
yin.or.jp=山梨インターネット,山梨インターネット(株),山梨県
enshu-net.or.jp=遠州インターネット,(株)アルファ情報システムズ,静岡県
valley.ne.jp=Infovalley,(株)富士通長野システムエンジニアリング,長野県
bellcity.ne.jp=ベルシティ インターネット,(株)システム,
biwa.ne.jp=ＢＩＷＡＬＯＢＥ,(株)ビワローブ ,滋賀県
campus.ne.jp=キャンパスネット,Intenet Communication Service Inc.,東京都
canal.ne.jp=Canal Net,(株)エム・デー・シー,神奈川県
cds.ne.jp=CDS-Net,(有)回路設計サービス,神奈川県
coralnet.or.jp=CORALNET,トナミ運輸(株),
echna.ne.jp=エクナネット,エクナ(株),岩手県
enjoy.ne.jp=デオデオエンジョイインターネットサービス,(株)デオデオ,
fitweb.or.jp=FITWeb,北電情報システムサービス(株),
fureai.or.jp=ふれあいINTERNET,ふれあい情報通信網(株),
dion.ne.jp=DION,(株)KDDI,
dti.ne.jp=DTI,(株)ドリーム・トレイン・インターネット,
infoweb.ne.jp=@nifty,ニフティ(株),
nifty.com=@nifty,ニフティ(株),
interq.or.jp=interQ,グローバルメディアオンライン(株) ,
mbn.or.jp=ドリームネット,ドリームネット(株),
